Algorithm_And_Search_Name,Maze_Size,Maze_Density,Water_Density,Path_Size,Num_Nodes_Expanded,Time,Peak_Memory_Usage,Start_Region,Goal_Region,Search_Type,Search_Algorithm,Search_Type_Name,Search_Algorithm_Name,Random_Seed,Maze_Object
tree_BFS,10,0.25,0.35,4.0,12,0.00019693374633789062,3296,1,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 0, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(2, 6), size=10, obstacle_density=0.25, water_density=0.35, start_region=1, goal_region=2)"
tree_BFS,10,0.25,0.35,8.0,315,0.004494905471801758,82284,1,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 0, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 0, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(7, 1), size=10, obstacle_density=0.25, water_density=0.35, start_region=1, goal_region=3)"
tree_BFS,10,0.25,0.35,9.0,343,0.004575014114379883,91132,1,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 0, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(7, 6), size=10, obstacle_density=0.25, water_density=0.35, start_region=1, goal_region=4)"
tree_BFS,10,0.25,0.35,5.0,36,0.0005369186401367188,8416,1,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 0, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 0, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(5, 4), size=10, obstacle_density=0.25, water_density=0.35, start_region=1, goal_region=5)"
tree_BFS,10,0.25,0.35,12.0,449,0.006891965866088867,124756,2,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 0, 0, 2, 0, 2, 0, 1, 0, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(2, 1), size=10, obstacle_density=0.25, water_density=0.35, start_region=2, goal_region=1)"
tree_BFS,10,0.25,0.35,15.0,1588,0.024277925491333008,368196,2,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 2, 0, 2, 0, 1, 0, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 0, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(7, 1), size=10, obstacle_density=0.25, water_density=0.35, start_region=2, goal_region=3)"
tree_BFS,10,0.25,0.35,8.0,25,0.0004050731658935547,5728,2,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 2, 0, 2, 0, 1, 0, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(7, 6), size=10, obstacle_density=0.25, water_density=0.35, start_region=2, goal_region=4)"
tree_BFS,10,0.25,0.35,8.0,29,0.0004420280456542969,7520,2,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 2, 0, 2, 0, 1, 0, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 0, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 2, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(5, 4), size=10, obstacle_density=0.25, water_density=0.35, start_region=2, goal_region=5)"
tree_BFS,10,0.25,0.35,8.0,56,0.0007429122924804688,12504,3,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 0, 0, 2, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(2, 1), size=10, obstacle_density=0.25, water_density=0.35, start_region=3, goal_region=1)"
tree_BFS,10,0.25,0.35,11.0,177,0.0025751590728759766,51768,3,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 2, 1, 0, 2, 1, 0, 1], [1, 1, 0, 2, 0, 2, 0, 1, 1, 1], [1, 2, 2, 0, 0, 0, 0, 1, 0, 1], [1, 2, 2, 1, 0, 2, 2, 2, 0, 1], [1, 1, 0, 0, 1, 0, 2, 0, 1, 1], [1, 2, 0, 1, 0, 0, 2, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(2, 6), size=10, obstacle_density=0.25, water_density=0.35, start_region=3, goal_region=2)"
